depth,latitude,longitude,water_temp,water_u,water_v,salinity,sphy,diatoms,mezoo,mizoo
-0.0,18.585238,-77.6,27.377714,0.022537518,0.03862511,35.87426400000001,0.009403463,0.0004901562,0.0,0.00042186576
-0.0,18.585238,-77.56,27.350569,0.013940203,0.035384897,35.875854,0.01099991,0.0004987232,0.0,0.0003838701
-0.0,18.585238,-77.52,27.336348,0.00015918538,0.033350326,35.876015,0.011429501000000002,0.0005022659,0.0,0.00035773823
-0.0,18.585238,-77.48,27.31004,-0.017449166999999998,0.02693349,35.87432000000001,0.008981239,0.0004979643,0.0,0.000519637
-0.0,18.585238,-77.44,27.288868,-0.04097929,0.017601598,35.87117999999999,0.004961501,0.00054129894,0.0,0.0008420439
-0.0,18.585238,-77.4,27.253105,-0.091731325,0.01031569,35.86627199999999,0.0054698656,0.0006398156,0.0,0.0009977388
-0.0,18.585238,-77.36,27.234497,-0.12796359,0.010316049,35.85887,0.0010503471,8.074536e-05,0.0,0.00010069086
-0.0,18.623148,-77.96,27.447872,0.03300576,0.03631027,35.846733,0.008319842,5.6551125e-05,0.0,0.00010735628
-0.0,18.623148,-77.92,27.43665,0.04240156,0.03509802,35.850094,0.006360301999999999,1.7499673e-05,0.0,3.4264559999999994e-05
-0.0,18.623148,-77.88,27.438837,0.049750462,0.04484182,35.853897,0.0025990081,2.912991e-05,0.0,2.2889367e-08
-0.0,18.623148,-77.84,27.444008,0.0513439,0.04072404,35.85875700000001,0.0014298459,7.991005e-05,0.0,5.35334e-05
-0.0,18.623148,-77.8,27.44133,0.051974826,0.04622902,35.861656,0.0017897706,0.00017094381999999998,0.0,0.00027974887
-0.0,18.623148,-77.76,27.431189,0.048682626,0.038153216,35.862015,0.002913272,0.0002811868,0.0,0.0006763148700000001
-0.0,18.623148,-77.72,27.42027,0.040113177,0.038013753,35.86308,0.004073823,0.0004247071,0.0,0.00096662634
-0.0,18.623148,-77.68,27.40882,0.034769252,0.032140903,35.86564600000001,0.0047469884,0.0004912637,0.0,0.00096575735
-0.0,18.623148,-77.64,27.394112,0.034842994,0.035317697,35.86815,0.0051315716,0.0005300883000000001,0.0,0.0008500212599999999
-0.0,18.623148,-77.6,27.378822,0.038161494,0.038370013,35.86947,0.0056723347,0.00051962445,0.0,0.00072667416
-0.0,18.623148,-77.56,27.36164,0.037880175,0.04185894,35.870876,0.006856105,0.00055237726,0.0,0.0006900193400000001
-0.0,18.623148,-77.52,27.344263,0.027563913,0.049084257,35.87159000000001,0.008664881999999999,0.0006059622,0.0,0.00081433996
-0.0,18.623148,-77.48,27.325287,0.01017664,0.04679793,35.87183,0.0092829615,0.00070360955,0.0,0.0011833376
-0.0,18.623148,-77.44,27.299809000000003,-0.015451455,0.05765199,35.86945700000001,0.0074088117,0.0008280113700000001,0.0,0.0016280038
-0.0,18.623148,-77.4,27.260113,-0.04068545,0.06528933,35.86451,0.006011091999999999,0.000767522,0.0,0.00127802
-0.0,18.623148,-77.36,27.26451,-0.050114363,0.06528896,35.861977,0.0017155457,0.00018920423,0.0,0.00030531207
-0.0,18.661049,-77.96,27.437645,0.024348654,0.030432902,35.846924,0.0045368266,0.00023705774,0.0,0.00059589895
-0.0,18.661049,-77.92,27.430311,0.024470534,0.029264065,35.850876,0.0013724441,0.00023138599,0.0,0.00034447561
-0.0,18.661049,-77.88,27.422194,0.024329191,0.036537673,35.8537,0.0009839435,0.00021551597000000005,0.0,0.0002471886
-0.0,18.661049,-77.84,27.424274,0.027371652000000003,0.037913676,35.855907,0.0014994408,0.00038223283,0.0,0.0007596501
-0.0,18.661049,-77.8,27.422564,0.027187793,0.042876214,35.859756,0.0027515818,0.000531149,0.0,0.0014766867
-0.0,18.661049,-77.76,27.41917,0.022717569,0.039833583,35.86206,0.004430270300000001,0.00076845393,0.0,0.0023120714000000003
-0.0,18.661049,-77.72,27.40799,0.020209566,0.039640784,35.863365,0.005461378,0.00086543954,0.0,0.0026573641
-0.0,18.661049,-77.68,27.401361,0.02158395,0.03416653,35.86495,0.005495075,0.0009191833,0.0,0.002530569
-0.0,18.661049,-77.64,27.386683,0.022170518,0.033358872000000005,35.86769,0.004970201,0.00082565524,0.0,0.0020701252
-0.0,18.661049,-77.6,27.362375,0.02276402,0.037041977,35.867123,0.0053015957,0.0007795055000000001,0.0,0.0017174878
-0.0,18.661049,-77.56,27.356690000000004,0.022821441,0.04713806,35.867413,0.006511221,0.0006823286,0.0,0.0014095409
-0.0,18.661049,-77.52,27.350235,0.014430733,0.059693046,35.86795,0.008001497,0.0007310142999999999,0.0,0.0014300526
-0.0,18.661049,-77.48,27.332859000000006,-0.0024279417,0.061994966,35.86837,0.0094754975,0.0008199772,0.0,0.0018592228
-0.0,18.661049,-77.44,27.310055,-0.017643303,0.07531208,35.868015,0.008857776,0.0010631847,0.0,0.0025949313
-0.0,18.661049,-77.4,27.280188,-0.045075323,0.08832672,35.865288,0.0073198806,0.0010331366,0.0,0.0020186235
-0.0,18.661049,-77.36,27.251177,-0.06650866,0.08832657,35.862003,0.0040059304,0.0006361061,0.0,0.0016491276999999998
-0.0,18.698942,-77.96,27.432005,0.0037788497,0.03054182,35.848564,0.007084165,0.0009195304,0.0,0.0036794387
-0.0,18.698942,-77.92,27.428677,0.00064779073,0.030278746,35.850853,0.004511454,0.0007942765,0.0,0.0027908187
-0.0,18.698942,-77.88,27.420792,-0.0015839715,0.036798816,35.85277,0.0051436312,0.0009956281,0.0,0.0035998025
-0.0,18.698942,-77.84,27.422586,0.000793973,0.041403472,35.85502,0.0060814098,0.0010748006,0.0,0.0042341216
-0.0,18.698942,-77.8,27.415064,0.004030217,0.04343415,35.856926,0.008496924,0.0013802958,0.0,0.005713401999999999
-0.0,18.698942,-77.76,27.415926,0.0060620736,0.042469703,35.85974,0.00953443,0.0014119346,0.0,0.006151679
