formula,count
musepack,2
mecab-ipadic,2
liboauth,2
gmime,2
talloc,2
juju,2
tepl,2
notmuch,2
ghc@8.8,2
libpeas,2
libsigsegv,2
fcgi,2
sdl2_net,2
gdb,2
binutils,2
sip,2
libxtst,2
tarsnap,2
thrift,2
sleuthkit,2
sane-backends,2
xml-tooling-c,2
libxml++,2
gpatch,2
nagios-plugins,2
libsvg,2
hackrf,2
glib-networking,2
libwebsockets,2
graphite2,2
xmlrpc-c,2
afflib,2
libewf,2
git,2
wandio,2
hiredis,2
pdflib-lite,2
unrar,2
libxau,2
miniupnpc,2
pinentry,2
libebml,2
ldns,2
libfido2,2
libftdi,2
uhd,2
libnotify,2
gst-plugins-bad,2
libtommath,2
augeas,2
libcdio,2
pass,2
libmikmod,2
docbook-xsl,2
mongo-c-driver,2
texinfo,2
w3m,2
cgl,2
atkmm,2
pangomm,2
wavpack,2
opencore-amr,2
libcue,2
libbs2b,2
folly,2
ant,2
mesa-glu,2
avro-c,2
zsh,2
mercurial,2
purescript,2
cbc,2
libbitcoin-protocol,2
libsvg-cairo,2
libbitcoin-network,2
gnome-themes-standard,2
qrupdate,2
mozjpeg,2
gperftools,2
net-snmp,2
vtk,2
pcl,2
autogen,2
ode,2
mkvtoolnix,2
tinyxml2,2
ykpers,2
kim-api,2
ec2-api-tools,2
liquid-dsp,2
grep,1
eye-d3,1
cminpack,1
grpc,1
lzip,1
m4,1
rpm,1
sofia-sip,1
google-sparsehash,1
emscripten,1
rbenv-whatis,1
glbinding,1
cdrtools,1
bison,1
vorbis-tools,1
glyr,1
mkcue,1
kyoto-cabinet,1
wireshark,1
aria2,1
make,1
aom,1
a52dec,1
diamond,1
bamtools,1
fpc,1
gnu-shogi,1
libuecc,1
libltc,1
libdap,1
epsilon,1
dav1d,1
cython,1
libbluray,1
libmrss,1
libvidstab,1
rav1e,1
rubberband,1
srt,1
xterm,1
maxima,1
libflowmanager,1
freealut,1
liblqr,1
atf,1
lutok,1
isl@0.18,1
docker,1
mktorrent,1
libgusb,1
mujs,1
youtube-dl,1
ttfautohint,1
dumb,1
libmatroska,1
libnice,1
delta,1
astyle,1
libusrsctp,1
libwmf,1
srtp,1
libbinio,1
graphene,1
libqalculate,1
abook,1
log4cpp,1
gst-plugins-ugly,1
volk,1
cunit,1
caf,1
libvterm,1
tre,1
octave,1
libquvi,1
bmake,1
makedepend,1
clutter-gtk,1
cogl,1
libnetworkit,1
httperf,1
smartmontools,1
