formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
zsh-autosuggestions,4462,0.02,macos,30,4450,0.05,99.73106230389959
libgit2,4439,0.02,macos,30,2632,0.03,59.292633476008106
mozjpeg,4434,0.02,macos,30,638,0.01,14.388813712223724
romkatv/powerlevel10k/powerlevel10k,4430,0.02,macos,30,4429,0.05,99.97742663656885
speedtest-cli,4427,0.02,macos,30,4415,0.05,99.7289360740908
sbcl,4425,0.02,macos,30,2239,0.03,50.598870056497184
libsigc++,4422,0.02,macos,30,593,0.01,13.410221619176843
terragrunt,4415,0.02,macos,30,4407,0.05,99.81879954699887
gst-libav,4402,0.02,macos,30,2557,0.03,58.0872330758746
dfu-util,4390,0.02,macos,30,3140,0.04,71.5261958997722
libnet,4388,0.02,macos,30,185,0.0,4.216043755697356
aws-elasticbeanstalk,4333,0.02,macos,30,4308,0.05,99.42303254096468
consul,4333,0.02,macos,30,4176,0.05,96.37664435725824
cloc,4310,0.02,macos,30,4253,0.05,98.67749419953597
berkeley-db,4292,0.02,macos,30,557,0.01,12.977632805219011
bzip2,4275,0.02,macos,30,4225,0.05,98.83040935672514
cabal-install,4247,0.02,macos,30,2096,0.02,49.352484106428065
python,4239,0.02,macos,30,2477,0.03,58.43359282849728
upx,4207,0.02,macos,30,4196,0.05,99.73853101972902
libice,4191,0.02,macos,30,22,0.0,0.5249343832020997
libserdes,4187,0.02,macos,30,97,0.0,2.316694530690232
qhull,4186,0.02,macos,30,148,0.0,3.535594839942666
uchardet,4186,0.02,macos,30,277,0.0,6.617295747730529
libsm,4183,0.02,macos,30,29,0.0,0.6932823332536457
libxt,4163,0.02,macos,30,27,0.0,0.6485707422531828
golangci/tap/golangci-lint,4153,0.02,macos,30,4138,0.05,99.63881531423068
libshout,4137,0.02,macos,30,71,0.0,1.7162194827169446
qrencode,4130,0.02,macos,30,1629,0.02,39.44309927360774
libnice,4123,0.02,macos,30,577,0.01,13.994664079553724
libxi,4106,0.02,macos,30,15,0.0,0.3653190452995616
libvirt,4096,0.01,macos,30,2702,0.03,65.966796875
rpm,4093,0.01,macos,30,3391,0.04,82.8487661861715
shellcheck,4073,0.01,macos,30,3864,0.05,94.86864718880432
libwebsockets,4034,0.01,macos,30,1835,0.02,45.48834903321765
cairomm,4017,0.01,macos,30,1772,0.02,44.11252178242469
w3m,3982,0.01,macos,30,3701,0.04,92.94324460070317
tflint,3976,0.01,macos,30,3970,0.05,99.84909456740442
mujs,3966,0.01,macos,30,62,0.0,1.5632879475542107
libimagequant,3921,0.01,macos,30,86,0.0,2.1933180311145115
ncdu,3901,0.01,macos,30,3867,0.05,99.12842860804922
apache-spark,3892,0.01,macos,30,3862,0.05,99.22918807810895
microsoft/mssql-release/msodbcsql17,3889,0.01,macos,30,3015,0.04,77.52635638981744
openconnect,3882,0.01,macos,30,3750,0.04,96.59969088098919
mesa,3881,0.01,macos,30,486,0.01,12.522545735635147
mongodb/brew/mongodb-community-shell,3880,0.01,macos,30,3871,0.05,99.76804123711341
hub,3873,0.01,macos,30,3722,0.04,96.10121352956365
sqlmap,3863,0.01,macos,30,3812,0.04,98.6797825524204
pygobject,3861,0.01,macos,30,1121,0.01,29.033929033929034
elastic/tap/elasticsearch-full,3827,0.01,macos,30,3821,0.04,99.84321923177424
openssl,3826,0.01,macos,30,2240,0.03,58.546785154208045
stoken,3807,0.01,macos,30,128,0.0,3.362227475702653
vips,3799,0.01,macos,30,3329,0.04,87.62832324295867
reattach-to-user-namespace,3759,0.01,macos,30,3668,0.04,97.57914338919925
gitlab-runner,3732,0.01,macos,30,3718,0.04,99.62486602357986
cairomm@1.14,3727,0.01,macos,30,6,0.0,0.16098738932116982
n,3712,0.01,macos,30,3705,0.04,99.81142241379311
qrupdate,3691,0.01,macos,30,247,0.0,6.691953400162558
graphene,3652,0.01,macos,30,18,0.0,0.49288061336254113
v8,3646,0.01,macos,30,3329,0.04,91.30554031815689
libxmu,3572,0.01,macos,30,26,0.0,0.7278835386338186
